deletion_list,ORE,SAM,deletion_Size
5905,4.645502646,6.5625,0
6916,5.45,6.833333333,71.61
8044,3.95,7.041666667,608.68
8045,3.428571429,6.638888889,809.14
8046,4.384615385,5.208333333,91.46
8047,4.454545455,6.75,224.01
8048,4.5,7,715.33
8049,4.611111111,5.6875,934.66
8050,4.813953488,6.888888889,839.35
8051,4,5.481481481,597.64
8052,4.0625,5.388888889,808.19
8053,4.434782609,5.35483871,829.36
8054,4.846153846,6.4,40.55
8056,4.692307692,6.5,168.11
8057,4.4,6.428571429,78.26
8058,4.266666667,7,24.22
8059,3.888888889,4.571428571,644
8060,5.3,7,637.14
8061,4.8,7.052631579,804.2
8062,4,5.611111111,347.38
8063,4.095238095,6.5,334.62
8065,4.1,5.555555556,320.46
8066,5.125,7.285714286,638.74
8068,4.090909091,3.1,736.24
8069,4.111111111,5.6,821.56
8070,3.956521739,5.125,415.99
8071,5,7,86.74
8072,4.111111111,4.615384615,518.06
8073,3.363636364,4.375,822.81
8074,4.235294118,5.882352941,831.02
8075,4.2,5.652173913,575.02
8077,2.944444444,4.259259259,324.19
8078,3.294117647,3.857142857,692.63
8079,4.230769231,5.866666667,439.05
8080,4.5625,5.090909091,429.31
8081,4.9,6.666666667,435.19
8082,4.545454545,6.8,174.8
8083,4.7,6.333333333,194.71
8084,4.3,6.75,124.95
8085,4.142857143,5.9,311.46
8086,4,6.8,701.1
8087,5.090909091,7,832
8088,3.222222222,5.5,506.44
8089,4.625,5.6,699.72
8090,4.888888889,7,73.7
8096,3.866666667,5.666666667,756.31
8097,4.166666667,5.857142857,765.78
8098,4.416666667,6.833333333,388.13
8099,5.857142857,6.111111111,721.09
8100,4,4.321428571,651.83
8101,3.8125,4.555555556,346.87
8102,4.1,6.375,162.8
8702,3.888888889,7.166666667,233.66
8909,3.885057471,5.448275862,343.2
8910,3.322033898,4.930232558,467.98
8911,3.475409836,5.682926829,212.41
8912,4.128205128,6.088235294,388.61
8913,4.85,7,315.51
8914,4.2,6.878787879,627.23
8915,5.029411765,6.285714286,129.85
8916,4.682926829,7,240.13
8918,4.823529412,6.930232558,940.12
8931,4.5,6.888888889,589.97
8939,4.8,6.661290323,518.13
8941,4.574468085,6.673076923,542.12
8942,4.6,5.921568627,675.7
9062,4.923076923,6.146341463,547.75
9063,4.15,6.4375,630.52
9064,4.046511628,6,482.01
9066,3.621621622,5.666666667,561.13
9067,4.774193548,7.238095238,264.3
9068,5.15,6.833333333,270.61
9069,4.923076923,6.666666667,540.17
9070,4.2,7.5,212.55
9071,2.6,3.818181818,97.86
9072,4.538461538,5.705882353,39.98
9073,4.125,5.1875,137.85
9074,4.333333333,5.647058824,156.65
9157,4.166666667,6.475,551.91
9158,4.285714286,6.8,688.72
9194,4.777777778,7.272727273,213.01
9213,4.818181818,7.7,524.86
9214,4,3.368421053,202.56
9221,4.166666667,7.272727273,522.14
9223,4.230769231,6.129032258,386.67
9267,3.106060606,7.014084507,552.57
9268,3.75862069,4.327868852,216.61
9275,4.025641026,5,638.3
9277,3.282051282,4.166666667,482.34
9278,5.142857143,6.481481481,268.23
9344,4.642857143,5.931034483,503.34
9413,4,5.64,498.52
9683,3.970588235,5.625,351.79
23228,4.4,5.95,96.48
24117,4.681818182,6.142857143,540.17
24627,4.285714286,5,434.1
24758,4.592592593,6.304347826,34.42
