deletion_list,ORE,SAM,deletion_size
6236,4.348148148,6.74742268,0
7488,4.2,6.833333333,62.05
7489,4.153846154,6.411764706,111.09
7490,4.2,7.111111111,247.84
7491,2.5,4.894736842,84.15
7492,5.666666667,6.315789474,182.36
7493,4,7,187.23
7494,4.25,6.3,260.55
7495,4.181818182,6.5,117.59
7496,4.058823529,6.47826087,67.04
7497,4.571428571,5.714285714,158.33
7498,3.318181818,5.583333333,249.01
7499,4.5,6.857142857,146.7
7500,4.636363636,7.095238095,139.4
7501,5.25,6.636363636,164.7
7502,4.47826087,6.318181818,158.55
7503,2.904761905,4.636363636,215.67
7504,4,6.75,126.47
7505,7,7.944444444,186.85
7506,4.363636364,6.7,112.2
7507,4.727272727,7.238095238,168.6
7508,4.285714286,6.636363636,115.23
7510,4,5.529411765,88.84
7511,4.5,6.625,199.2
7512,3.875,6.3125,87.09
7513,3.947368421,7.222222222,163.57
7514,3.875,6,95.68
7515,4.833333333,6.466666667,204.03
7516,3.684210526,4.47826087,232.4
7517,4.5,7,198.93
7518,3.8,6.375,169.27
7519,3.75,6.117647059,81.15
7521,3.571428571,6.666666667,130.29
7522,1.8125,4.740740741,201.2
7523,3.9375,6.666666667,160.74
7524,6.266666667,7.352941176,187.78
7525,4.833333333,7.44,261.78
7526,5.35,7.117647059,188.79
7527,4.666666667,7.235294118,170.36
7528,3.4375,6.454545455,243.97
7529,4.8,7.529411765,141.47
7530,4.166666667,6.5,72.3
7531,4.571428571,6.466666667,191.03
7532,3.212121212,5.9,131.91
7533,4,6.818181818,120.36
7534,4.863636364,7.11627907,129.93
7535,4.2,7.071428571,132.14
7536,3.714285714,7,146.78
7537,3.916666667,6.545454545,174.91
7538,3.857142857,6.777777778,171.34
7539,3.814814815,5.594594595,152.88
7540,5.321428571,7.05,117.21
7541,3.8,5.333333333,311.69
7542,4.5,7.066666667,211.95
7543,3.8,6.75,175.99
7544,5.193548387,7.230769231,54.06
7545,4.142857143,6.6,198.62
7546,4.5,6.888888889,217.44
7547,5.921052632,7.743589744,240.45
7548,4.545454545,6.833333333,297.07
7549,4.3125,6.947368421,89.26
7550,4.5,6.733333333,194.6
7551,4.125,6.9,183.6
7552,3.96875,6.130434783,233.05
7553,3.878787879,6.896551724,220.7
7554,2.52,7.266666667,194.26
7556,3.7,6.777777778,227.64
7557,4.368421053,7.047619048,157.95
7558,3.84,5.766666667,158.1
7559,4.076923077,7,68.95
7561,4.125,6.473684211,42.66
7724,6.19047619,7.333333333,103.57
7744,4,6.857142857,130.33
7749,4.75,7,190.84
7750,4.083333333,7.055555556,196.7
7772,4,6.214285714,82.94
7774,4.555555556,7.142857143,155.93
7775,4.125,7.1,91.48
7776,4.5,7.076923077,152.9
7778,4,7,193.08
7780,5.588235294,6.692307692,154.24
7782,4.375,7,141.99
7784,4.6,7,77.07
7785,4.2,6.555555556,263.67
7786,4.25,7.2,52.18
7787,4.625,7,118.48
7789,4,7.333333333,127.53
7792,4.222222222,7,40.82
7793,4,6,130.64
7794,5,6.875,57.44
7795,4.181818182,5.266666667,63.68
7796,4.272727273,7,25.54
7797,3.4,5.0625,69.9
7798,4.8,6.928571429,103.75
7799,4.5,6.5,82.18
7800,4.285714286,7.125,45.95
7801,3.857142857,6.4,122.16
7802,3.066666667,5.173913043,100.35
7803,4.25,7,62.15
7804,3.6875,5.181818182,130.64
7805,3.8,6.733333333,22.64
7807,4.4,7,133.96
7809,4.9,7,90.91
7810,4,7,272.83
7811,4,5.636363636,186.92
7812,4,6.615384615,99.66
7813,4.571428571,6.857142857,60.42
7815,4.090909091,7,8.86
7816,5,7.1875,80.33
7818,4.142857143,3.933333333,64.8
7819,3.857142857,6.583333333,56.82
7820,4.090909091,6,345.4
7821,3.75,6.772727273,121.89
7823,3.777777778,5.777777778,293.34
7826,4,7,77.28
7828,4,6.571428571,537.75
7830,4.142857143,7.055555556,175.15
7831,4.230769231,6.409090909,318.5
7833,4,7,270.42
7834,3.454545455,6.2,96.61
7835,3.428571429,6.789473684,658.82
7836,4.714285714,7.166666667,102.16
7837,4.666666667,7,291.68
7838,4,7,113
7839,4.285714286,6.666666667,276.55
7840,2.222222222,2.235294118,331.82
7841,4.083333333,7,4.46
7843,3.846153846,7.166666667,106.98
7844,3.571428571,7,190.28
7845,5.944444444,7,163.04
7846,4.692307692,7.266666667,48.77
7847,3.818181818,7.333333333,51.75
7849,2.769230769,3.666666667,159.78
7850,4.285714286,6.416666667,154.53
7851,4,5.666666667,222.44
7852,4.272727273,6.631578947,104.59
7853,4,7,241.09
7855,4.125,6.222222222,216.79
7858,4.4,7,86.27
7859,4.555555556,6.5,70.58
7860,4,6.555555556,107.83
7862,4.583333333,7.083333333,139.25
7863,4.333333333,6.875,49.35
7864,3.571428571,6.891891892,84.16
7867,4,6.75,7.6
7869,4.227272727,6.055555556,108.82
7870,2.575,4.5,119.24
7871,4.529411765,6.769230769,184.56
7872,4.636363636,6.8,62.11
7873,3.666666667,6.625,95.97
7875,4.233333333,7.058823529,138.52
7876,4.555555556,7,128.59
7877,4.909090909,7.8,72.36
7879,3.714285714,5.344827586,132.99
7880,4.6,7,11.14
7881,5,6.6,7.21
7883,4.857142857,6.869565217,89.06
7885,3.35,6.411764706,15.89
7886,3.884615385,5.4,135.95
7887,4.384615385,6.909090909,114.85
7890,3.769230769,6.333333333,110.5
7891,4.571428571,6.8125,65.36
7893,3.764705882,6.038461538,79.39
7894,5.346153846,7.555555556,109.19
7895,4,6.916666667,124.19
7896,2.333333333,7.5,68.2
7898,4.5,6.727272727,84.77
7901,4.6,6.625,96.29
7902,3.888888889,6.285714286,107.28
7903,4.5,6.571428571,133.79
7906,4.125,7.222222222,135.41
7909,3.833333333,6.5625,142.27
7913,4.2,6.875,15.02
7916,3.625,6.2,151.05
7998,2.909090909,6.5,129.31
7999,4.125,7,101.64
8000,4.166666667,7,254.87
6236,4.308510638,6.747368421,0
7562,4.142857143,6.263157895,75.81
7563,4,6.363636364,166.75
7564,4.357142857,6.25,200.86
7565,4.1,5.222222222,209.84
7566,3.894736842,5.291666667,108.15
7567,3.666666667,6.363636364,81.87
7568,4.153846154,5.444444444,104.36
7569,4.4,5.6,72.71
7570,4.181818182,6.8,164.99
7571,4.083333333,5,226.08
7572,4,6.5,167.63
7573,4,5.666666667,101.44
7574,3.166666667,6.142857143,84.35
7575,4.6,6.7,51.63
7576,4.1,6.166666667,280.2
7577,4,8.909090909,100.35
7578,4.666666667,7,148.43
7580,4.555555556,6.714285714,155.51
7581,3.88,4.954545455,283.74
7582,4,6.166666667,189.76
7583,4.238095238,8.238095238,181.26
7584,4.916666667,6.666666667,241.92
7585,4,4.866666667,82.93
7587,4,4.9,45.84
7589,4.4,6.6,61.39
7591,4.027027027,4.818181818,262.19
7593,3.8,6.461538462,186.03
7594,2.707317073,4.166666667,260
7595,4,6.888888889,122.12
7596,4.444444444,5.411764706,162.25
7597,4.75,6.75,118.13
7599,4.105263158,5.533333333,131.31
7600,3.764705882,6.125,82.3
7601,4.4375,5.647058824,136.6
7602,4.076923077,5.352941176,204.61
7604,4.391304348,6.4,111.25
7605,4.2,5.25,111.29
7606,2.181818182,3.571428571,82.7
7607,4.555555556,6.857142857,87.67
7608,4.8,6.1,71.86
7609,3.714285714,6.142857143,145.3
7610,4.5,6.625,183.4
7611,3.1875,4.764705882,111.44
7612,4.307692308,6.1,122.6
7613,3.818181818,6.181818182,159.26
7614,4.583333333,5.545454545,123.79
7616,4.272727273,6.571428571,111.55
7617,4,5.833333333,140.05
7745,3.666666667,6.266666667,226.62
7920,4.333333333,6.166666667,13.44
7921,2.722222222,4.769230769,57.01
7922,4.25,5.526315789,146.77
7923,4.4,7,12.52
7925,4,7.133333333,17.81
7926,4.142857143,6.857142857,182.59
7927,4.444444444,7.142857143,138.84
7928,5.714285714,7.142857143,175.42
7929,3.8125,5.4,168.93
7930,4.818181818,6.8,73.42
7934,4.25,7.0625,19.16
7935,4.2,7,38.27
7936,4.2,6.625,64.98
7937,3.571428571,6.4,69.11
7938,3.913043478,5.789473684,138.36
7940,4.083333333,5.8,17.79
7941,4.363636364,6.444444444,39.33
7942,4,6.461538462,212.15
7943,4.875,6.416666667,170.62
7944,4.5,7,126.14
7945,4.153846154,5.5,52.93
7946,4,5.8,9.88
7947,4.5,7,18.29
7949,3.6,4.875,6.23
7950,4.625,6.363636364,15.13
