Stock_Number,Deletion,Chromosome,Background,Block,Raw_Phenotype,Numeric_Phenotype,Deletion_Set
6326,CONTROL,,ORE,1,F,5,BSC
6326,CONTROL,,ORE,1,F,5,BSC
6326,CONTROL,,ORE,1,F,5,BSC
6326,CONTROL,,ORE,1,F,5,BSC
6326,CONTROL,,ORE,1,F,5,BSC
6326,CONTROL,,ORE,1,F,5,BSC
6326,CONTROL,,ORE,1,G,4,BSC
6326,CONTROL,,ORE,1,G,4,BSC
6326,CONTROL,,ORE,1,G,4,BSC
6326,CONTROL,,ORE,1,G,4,BSC
6326,CONTROL,,ORE,1,G,4,BSC
6326,CONTROL,,ORE,1,G,4,BSC
6326,CONTROL,,ORE,1,G,4,BSC
6326,CONTROL,,ORE,1,G,4,BSC
6326,CONTROL,,ORE,1,G,4,BSC
6326,CONTROL,,ORE,1,G,4,BSC
6326,CONTROL,,ORE,1,G,4,BSC
6326,CONTROL,,ORE,1,G,4,BSC
6326,CONTROL,,ORE,1,G,4,BSC
6326,CONTROL,,ORE,1,G,4,BSC
6326,CONTROL,,ORE,1,G,4,BSC
6326,CONTROL,,ORE,3,F,5,BSC
6326,CONTROL,,ORE,3,G,4,BSC
6326,CONTROL,,ORE,3,G,4,BSC
6326,CONTROL,,ORE,3,G,4,BSC
6326,CONTROL,,ORE,3,G,4,BSC
6326,CONTROL,,ORE,3,G,4,BSC
6326,CONTROL,,ORE,3,G,4,BSC
6326,CONTROL,,ORE,3,G,4,BSC
6326,CONTROL,,ORE,3,G,4,BSC
6326,CONTROL,,ORE,3,G,4,BSC
6326,CONTROL,,ORE,3,G,4,BSC
6326,CONTROL,,ORE,3,G,4,BSC
6326,CONTROL,,ORE,3,G,4,BSC
6326,CONTROL,,ORE,3,G,4,BSC
6326,CONTROL,,ORE,4,F,5,BSC
6326,CONTROL,,ORE,4,F,5,BSC
6326,CONTROL,,ORE,4,F,5,BSC
6326,CONTROL,,ORE,4,F,5,BSC
6326,CONTROL,,ORE,4,G,4,BSC
6326,CONTROL,,ORE,4,G,4,BSC
6326,CONTROL,,ORE,4,G,4,BSC
6326,CONTROL,,ORE,4,G,4,BSC
6326,CONTROL,,ORE,4,G,4,BSC
6326,CONTROL,,ORE,4,G,4,BSC
6326,CONTROL,,ORE,4,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,1,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,1,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,1,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,1,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,1,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,1,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,1,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,1,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,1,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,1,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,1,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,2,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,2,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,2,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,2,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,2,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,2,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,2,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,2,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,2,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,2,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,2,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,2,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,2,G,4,BSC
8469,Df(2L)BSC50,2L,ORE,2,G,4,BSC
9507,Df(2L)BSC148,2L,ORE,1,G,4,BSC
9507,Df(2L)BSC148,2L,ORE,1,G,4,BSC
9507,Df(2L)BSC148,2L,ORE,1,G,4,BSC
9507,Df(2L)BSC148,2L,ORE,1,G,4,BSC
9507,Df(2L)BSC148,2L,ORE,1,G,4,BSC
9507,Df(2L)BSC148,2L,ORE,1,G,4,BSC
9507,Df(2L)BSC148,2L,ORE,1,G,4,BSC
9507,Df(2L)BSC148,2L,ORE,1,G,4,BSC
9507,Df(2L)BSC148,2L,ORE,1,G,4,BSC
9716,Df(2L)BSC241,2L,ORE,1,G,4,BSC
9716,Df(2L)BSC241,2L,ORE,1,G,4,BSC
9716,Df(2L)BSC241,2L,ORE,1,G,4,BSC
9716,Df(2L)BSC241,2L,ORE,1,G,4,BSC
9716,Df(2L)BSC241,2L,ORE,1,G,4,BSC
9716,Df(2L)BSC241,2L,ORE,1,G,4,BSC
9718,Df(2L)BSC244,2L,ORE,1,G,4,BSC
9718,Df(2L)BSC244,2L,ORE,1,G,4,BSC
9718,Df(2L)BSC244,2L,ORE,1,G,4,BSC
9718,Df(2L)BSC244,2L,ORE,1,G,4,BSC
9718,Df(2L)BSC244,2L,ORE,1,G,4,BSC
9718,Df(2L)BSC244,2L,ORE,1,G,4,BSC
9718,Df(2L)BSC244,2L,ORE,1,G,4,BSC
9718,Df(2L)BSC244,2L,ORE,1,G,4,BSC
9718,Df(2L)BSC244,2L,ORE,1,G,4,BSC
9718,Df(2L)BSC244,2L,ORE,1,G,4,BSC
23678,Df(2L)BSC293,2L,ORE,1,F,5,BSC
23678,Df(2L)BSC293,2L,ORE,1,G,4,BSC
23678,Df(2L)BSC293,2L,ORE,1,G,4,BSC
23678,Df(2L)BSC293,2L,ORE,1,G,4,BSC
23678,Df(2L)BSC293,2L,ORE,1,G,4,BSC
23678,Df(2L)BSC293,2L,ORE,1,G,4,BSC
23678,Df(2L)BSC293,2L,ORE,1,G,4,BSC
23678,Df(2L)BSC293,2L,ORE,1,G,4,BSC
23680,Df(2L)BSC295,2L,ORE,1,C,8,BSC
23680,Df(2L)BSC295,2L,ORE,1,G,4,BSC
23680,Df(2L)BSC295,2L,ORE,1,G,4,BSC
23680,Df(2L)BSC295,2L,ORE,1,G,4,BSC
23680,Df(2L)BSC295,2L,ORE,1,G,4,BSC
23680,Df(2L)BSC295,2L,ORE,1,G,4,BSC
23680,Df(2L)BSC295,2L,ORE,1,G,4,BSC
27383,Df(2L)BSC812,2L,ORE,1,G,4,BSC
27383,Df(2L)BSC812,2L,ORE,1,G,4,BSC
27383,Df(2L)BSC812,2L,ORE,1,G,4,BSC
27383,Df(2L)BSC812,2L,ORE,1,G,4,BSC
27383,Df(2L)BSC812,2L,ORE,1,G,4,BSC
27383,Df(2L)BSC812,2L,ORE,1,G,4,BSC
27383,Df(2L)BSC812,2L,ORE,1,G,4,BSC
6455,Df(2R)BSC11,2R,ORE,1,G,4,BSC
6455,Df(2R)BSC11,2R,ORE,1,G,4,BSC
6455,Df(2R)BSC11,2R,ORE,1,G,4,BSC
6455,Df(2R)BSC11,2R,ORE,1,G,4,BSC
6455,Df(2R)BSC11,2R,ORE,1,G,4,BSC
6455,Df(2R)BSC11,2R,ORE,1,G,4,BSC
6455,Df(2R)BSC11,2R,ORE,1,G,4,BSC
6455,Df(2R)BSC11,2R,ORE,3,G,4,BSC
6455,Df(2R)BSC11,2R,ORE,3,G,4,BSC
6455,Df(2R)BSC11,2R,ORE,3,G,4,BSC
6455,Df(2R)BSC11,2R,ORE,3,G,4,BSC
6455,Df(2R)BSC11,2R,ORE,3,G,4,BSC
7146,Df(2R)BSC40,2R,ORE,1,G,4,BSC
7146,Df(2R)BSC40,2R,ORE,1,G,4,BSC
7146,Df(2R)BSC40,2R,ORE,1,G,4,BSC
7146,Df(2R)BSC40,2R,ORE,1,G,4,BSC
7146,Df(2R)BSC40,2R,ORE,1,G,4,BSC
7146,Df(2R)BSC40,2R,ORE,1,G,4,BSC
7146,Df(2R)BSC40,2R,ORE,1,G,4,BSC
7146,Df(2R)BSC40,2R,ORE,1,G,4,BSC
7146,Df(2R)BSC40,2R,ORE,1,G,4,BSC
9539,Df(2R)BSC152,2R,ORE,1,G,4,BSC
9539,Df(2R)BSC152,2R,ORE,1,G,4,BSC
9539,Df(2R)BSC152,2R,ORE,1,G,4,BSC
23666,Df(2R)BSC281,2R,ORE,1,G,4,BSC
23666,Df(2R)BSC281,2R,ORE,1,G,4,BSC
23666,Df(2R)BSC281,2R,ORE,1,G,4,BSC
23666,Df(2R)BSC281,2R,ORE,1,G,4,BSC
23666,Df(2R)BSC281,2R,ORE,1,G,4,BSC
23666,Df(2R)BSC281,2R,ORE,1,G,4,BSC
23666,Df(2R)BSC281,2R,ORE,1,G,4,BSC
23682,Df(2R)BSC298,2R,ORE,1,F,5,BSC
23682,Df(2R)BSC298,2R,ORE,1,G,4,BSC
23682,Df(2R)BSC298,2R,ORE,1,G,4,BSC
23682,Df(2R)BSC298,2R,ORE,1,G,4,BSC
23682,Df(2R)BSC298,2R,ORE,1,G,4,BSC
23682,Df(2R)BSC298,2R,ORE,1,G,4,BSC
23682,Df(2R)BSC298,2R,ORE,1,G,4,BSC
23682,Df(2R)BSC298,2R,ORE,1,G,4,BSC
23682,Df(2R)BSC298,2R,ORE,1,G,4,BSC
23682,Df(2R)BSC298,2R,ORE,1,G,4,BSC
23686,Df(2R)BSC303,2R,ORE,1,F,5,BSC
23686,Df(2R)BSC303,2R,ORE,1,G,4,BSC
23686,Df(2R)BSC303,2R,ORE,1,G,4,BSC
23686,Df(2R)BSC303,2R,ORE,1,G,4,BSC
23686,Df(2R)BSC303,2R,ORE,1,G,4,BSC
23686,Df(2R)BSC303,2R,ORE,1,G,4,BSC
23686,Df(2R)BSC303,2R,ORE,1,G,4,BSC
23689,Df(2R)BSC306,2R,ORE,1,G,4,BSC
23689,Df(2R)BSC306,2R,ORE,1,G,4,BSC
23689,Df(2R)BSC306,2R,ORE,1,G,4,BSC
23689,Df(2R)BSC306,2R,ORE,1,G,4,BSC
23689,Df(2R)BSC306,2R,ORE,1,G,4,BSC
23689,Df(2R)BSC306,2R,ORE,1,G,4,BSC
23689,Df(2R)BSC306,2R,ORE,1,G,4,BSC
23689,Df(2R)BSC306,2R,ORE,3,G,4,BSC
