deletion.list,L1,SAM
6326,4.5,4.3
7491,6.428571429,6
7492,4.142857143,4
7503,6.571428571,6.666666667
7505,3.833333333,3.75
7516,6.666666667,6.75
7524,4,4
7525,4.285714286,4
7529,4,3.833333333
7540,4.5,4.125
7541,6.357142857,6.538461538
7544,4.714285714,4
7554,4.571428571,4
7585,6.333333333,6.222222222
7611,6.166666667,6.083333333
7625,5,5.8
7677,4,4.2
7686,7,6.777777778
7724,3.857142857,4.181818182
7741,4.142857143,4
7795,4.333333333,4.9
7834,6,4.714285714
7845,4,4
7875,3.75,4.090909091
7879,6.4375,6.142857143
7894,4.125,4.117647059
7949,7,6.888888889
7960,6.166666667,7
7976,6.571428571,6.222222222
7993,6.166666667,4.8
7995,3.571428571,3.333333333
7998,6.714285714,4.166666667
