Deletion,Background,Sex,Block,Numeric_Phenotype
6326,ORE,M,B1,7
6326,ORE,M,B1,7
6326,ORE,M,B1,7
6326,ORE,M,B1,7
6326,ORE,M,B1,7
6326,ORE,M,B1,7
6326,ORE,M,B1,7
6326,ORE,M,B1,6
6326,ORE,M,B1,6
6326,ORE,M,B1,6
6326,ORE,M,B1,6
6326,ORE,M,B1,6
6326,ORE,M,B1,6
6326,ORE,M,B1,7
6326,ORE,M,B1,7
6326,ORE,M,B1,7
6326,ORE,M,B1,7
6326,ORE,M,B1,7
6326,ORE,M,B1,7
6326,ORE,M,B1,7
6326,ORE,M,B2,7
6326,ORE,M,B2,7
6326,ORE,M,B2,7
6326,ORE,M,B2,7
6326,ORE,M,B2,7
6326,ORE,M,B2,7
6326,ORE,M,B2,7
6326,ORE,M,B2,7
6326,ORE,M,B2,7
6326,ORE,M,B2,6
6326,ORE,M,B2,7
6326,ORE,M,B3,7
6326,ORE,M,B3,7
6326,ORE,M,B3,7
6326,ORE,M,B3,7
6326,ORE,M,B3,7
6326,ORE,M,B3,7
6326,ORE,M,B3,7
6326,ORE,M,B3,7
6326,ORE,M,B3,7
6326,ORE,M,B3,7
6326,ORE,M,B3,6
6326,ORE,M,B3,7
6326,ORE,M,B3,7
7491,ORE,M,B2,7
7491,ORE,M,B2,7
7491,ORE,M,B2,7
7491,ORE,M,B2,8
7491,ORE,M,B2,8
7491,ORE,M,B2,8
7492,ORE,M,B2,4
7492,ORE,M,B2,5
7492,ORE,M,B2,5
7492,ORE,M,B2,5
7492,ORE,M,B2,6
7492,ORE,M,B2,7
7503,ORE,M,B2,7
7503,ORE,M,B2,7
7503,ORE,M,B2,7
7503,ORE,M,B2,7
7503,ORE,M,B2,7
7503,ORE,M,B2,7
7503,ORE,M,B2,7
7503,ORE,M,B2,7
7503,ORE,M,B2,8
7505,ORE,M,B2,4
7505,ORE,M,B2,4
7505,ORE,M,B2,4
7505,ORE,M,B2,4
7505,ORE,M,B2,5
7505,ORE,M,B2,5
7516,ORE,M,B2,7
7516,ORE,M,B2,7
7516,ORE,M,B2,7
7516,ORE,M,B2,8
7516,ORE,M,B2,8
7516,ORE,M,B2,8
7524,ORE,M,B2,7
7524,ORE,M,B2,7
7524,ORE,M,B2,7
7524,ORE,M,B2,7
7524,ORE,M,B2,6
7524,ORE,M,B2,6
7524,ORE,M,B2,5
7525,ORE,M,B2,7
7525,ORE,M,B2,7
7525,ORE,M,B2,7
7525,ORE,M,B2,6
7525,ORE,M,B2,5
7525,ORE,M,B2,4
7529,ORE,M,B2,7
7529,ORE,M,B2,7
7529,ORE,M,B2,5
7529,ORE,M,B2,5
7529,ORE,M,B2,4
7529,ORE,M,B2,4
7540,ORE,M,B2,7
7540,ORE,M,B2,7
7540,ORE,M,B2,5
7540,ORE,M,B3,7
7540,ORE,M,B3,7
7540,ORE,M,B3,7
7540,ORE,M,B3,7
7540,ORE,M,B3,7
7540,ORE,M,B3,7
7540,ORE,M,B3,6
7540,ORE,M,B3,8
7541,ORE,M,B1,7
7541,ORE,M,B1,7
7541,ORE,M,B1,7
7541,ORE,M,B1,7
7541,ORE,M,B1,8
7541,ORE,M,B1,8
7541,ORE,M,B2,7
7541,ORE,M,B2,7
7541,ORE,M,B2,7
7541,ORE,M,B2,7
7541,ORE,M,B2,7
7541,ORE,M,B2,7
7541,ORE,M,B3,7
7541,ORE,M,B3,7
7541,ORE,M,B3,7
7541,ORE,M,B3,7
7541,ORE,M,B3,7
7541,ORE,M,B3,7
7541,ORE,M,B3,7
7544,ORE,M,B2,7
7544,ORE,M,B2,7
7544,ORE,M,B2,7
7544,ORE,M,B2,6
7544,ORE,M,B2,6
7544,ORE,M,B2,5
7544,ORE,M,B2,4
7544,ORE,M,B2,7
7544,ORE,M,B2,7
7544,ORE,M,B2,7
7544,ORE,M,B2,6
7554,ORE,M,B2,7
