deletion.list,ORE,S1,S3
6326,6.818181818,6.868421053,6.794118
7491,7.5,7.090909091,7.285714
7492,5.333333333,6.857142857,7.285714
7503,7.111111111,8,7.571429
7505,4.333333333,4.714285714,4.4
7516,7.5,7.285714286,7.833333
7524,6.428571429,6.142857143,5.875
7525,6,5.777777778,6.142857
7529,5.333333333,5.857142857,5.888889
7540,6.818181818,6.285714286,6.428571
7541,7.105263158,7.285714286,7
7544,6.272727273,6.142857143,6.153846
7554,6.75,6.5,6.625
7585,7,7,7
7611,7.181818182,7.571428571,7.571429
7625,6.571428571,6.642857143,7.571429
7677,6.333333333,5.714285714,6.666667
7686,7.117647059,7.142857143,7
7724,6.833333333,6.857142857,7
7741,5.714285714,5.5,6.285714
7795,6.833333333,7,7.2
7834,6.571428571,7,7.454545
7845,6.428571429,6.142857143,6.571429
7875,6.294117647,6.166666667,6.8
7879,7,7,7
7894,6.428571429,7,7
7949,7.285714286,7.285714286,7.592593
7960,6.857142857,6.857142857,8.142857
7976,7,7,7
7993,6.2,6.928571429,7.75
7995,4,5.117647059,4
7998,6.833333333,6.916666667,7.388889
