Stock_Number,Deletion,Rxn_Norm,Chromosome,Background,Block,Numeric_Phenotype,Deletion_Set,Gene
6326,CONTROL,sd[E3],2L,ORE,3,5,Exelixis,salm
6326,CONTROL,sd[E3],2L,ORE,3,5,Exelixis,salm
6326,CONTROL,sd[E3],2L,ORE,3,5,Exelixis,salm
6326,CONTROL,sd[E3],2L,ORE,3,4,Exelixis,salm
6326,CONTROL,sd[E3],2L,ORE,3,4,Exelixis,salm
6326,CONTROL,sd[E3],2L,ORE,3,4,Exelixis,salm
6326,CONTROL,sd[E3],2L,ORE,3,4,Exelixis,salm
6326,CONTROL,sd[E3],2L,ORE,3,4,Exelixis,salm
6326,CONTROL,sd[E3],2L,ORE,3,4,Exelixis,salm
6326,CONTROL,sd[E3],2L,ORE,3,4,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,8,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,6,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,6,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,6,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,6,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,6,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,1,6,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,3,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,3,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,3,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,3,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,3,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,3,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,3,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,3,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,3,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,3,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,3,7,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,3,6,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,3,6,Exelixis,salm
6326,CONTROL,sd[E3],2L,SAM,3,6,Exelixis,salm
7512,Df(2L)Exel6029,sd[E3] X Df(salm),2L,ORE,3,5,Exelixis,salm
7512,Df(2L)Exel6029,sd[E3] X Df(salm),2L,ORE,3,4,Exelixis,salm
7512,Df(2L)Exel6029,sd[E3] X Df(salm),2L,ORE,3,4,Exelixis,salm
7512,Df(2L)Exel6029,sd[E3] X Df(salm),2L,ORE,3,4,Exelixis,salm
7512,Df(2L)Exel6029,sd[E3] X Df(salm),2L,ORE,3,4,Exelixis,salm
7512,Df(2L)Exel6029,sd[E3] X Df(salm),2L,ORE,3,4,Exelixis,salm
