ID,Background,Mutation,Sex,Block,Deletion,Centroid_Size
ORE_sd_M_B1_6326_1,ORE,sd,M,B1,6326,1.454977603
ORE_sd_M_B1_6326_2,ORE,sd,M,B1,6326,1.493769542
ORE_sd_M_B1_6326_3,ORE,sd,M,B1,6326,1.810460427
ORE_sd_M_B1_6326_4,ORE,sd,M,B1,6326,1.645943333
ORE_sd_M_B1_6326_5,ORE,sd,M,B1,6326,1.773205064
ORE_sd_M_B1_6326_6,ORE,sd,M,B1,6326,1.000153164
ORE_sd_M_B1_7522_1,ORE,sd,M,B1,7522,0.577712278
ORE_sd_M_B1_7522_2,ORE,sd,M,B1,7522,0.675612638
ORE_sd_M_B1_7522_3,ORE,sd,M,B1,7522,0.464273627
ORE_sd_M_B1_7522_4,ORE,sd,M,B1,7522,0.374104578
ORE_sd_M_B1_7541_1,ORE,sd,M,B1,7541,0.930955161
ORE_sd_M_B1_7541_2,ORE,sd,M,B1,7541,0.806718285
ORE_sd_M_B1_7541_3,ORE,sd,M,B1,7541,0.550368783
ORE_sd_M_B1_7541_4,ORE,sd,M,B1,7541,0.62935211
ORE_sd_M_B1_7795_1,ORE,sd,M,B1,7795,1.58240436
ORE_sd_M_B1_7795_2,ORE,sd,M,B1,7795,1.015518096
ORE_sd_M_B1_7795_3,ORE,sd,M,B1,7795,1.710561977
ORE_sd_M_B1_7795_4,ORE,sd,M,B1,7795,1.130189714
ORE_sd_M_B1_7795_5,ORE,sd,M,B1,7795,1.63469842
ORE_sd_M_B1_7834_2,ORE,sd,M,B1,7834,0.59224374
ORE_sd_M_B1_7834_3,ORE,sd,M,B1,7834,0.44255021
ORE_sd_M_B1_7834_4,ORE,sd,M,B1,7834,1.23949858
ORE_sd_M_B1_7834_5,ORE,sd,M,B1,7834,0.410043678
ORE_sd_M_B1_7834_6,ORE,sd,M,B1,7834,0.841755107
ORE_sd_M_B1_7845_1,ORE,sd,M,B1,7845,1.878660311
ORE_sd_M_B1_7845_3,ORE,sd,M,B1,7845,1.662060853
ORE_sd_M_B1_7845_4,ORE,sd,M,B1,7845,1.822492497
ORE_sd_M_B1_7845_5,ORE,sd,M,B1,7845,1.878392251
ORE_sd_M_B1_7875_1,ORE,sd,M,B1,7875,1.314898279
ORE_sd_M_B1_7875_2,ORE,sd,M,B1,7875,1.633115333
ORE_sd_M_B1_7875_3,ORE,sd,M,B1,7875,1.475095086
ORE_sd_M_B1_7875_4,ORE,sd,M,B1,7875,1.664483714
ORE_sd_M_B1_7875_5,ORE,sd,M,B1,7875,1.696709075
ORE_sd_M_B1_7879_2,ORE,sd,M,B1,7879,1.254442635
ORE_sd_M_B1_7879_3,ORE,sd,M,B1,7879,1.380501695
ORE_sd_M_B1_7879_4,ORE,sd,M,B1,7879,0.907720465
ORE_sd_M_B1_7879_5,ORE,sd,M,B1,7879,0.739941124
ORE_sd_M_B1_7879_6,ORE,sd,M,B1,7879,0.635656124
ORE_sd_M_B1_7894_1,ORE,sd,M,B1,7894,1.847921175
ORE_sd_M_B1_7894_2,ORE,sd,M,B1,7894,1.716944541
ORE_sd_M_B1_7894_3,ORE,sd,M,B1,7894,0.78540172
ORE_sd_M_B2_6326_1,ORE,sd,M,B2,6326,1.866100085
ORE_sd_M_B2_6326_2,ORE,sd,M,B2,6326,1.817856364
ORE_sd_M_B2_6326_3,ORE,sd,M,B2,6326,1.025562418
ORE_sd_M_B2_6326_4,ORE,sd,M,B2,6326,0.937863579
ORE_sd_M_B2_6326_5,ORE,sd,M,B2,6326,1.405029514
ORE_sd_M_B2_6326_6,ORE,sd,M,B2,6326,1.192296223
ORE_sd_M_B2_7491_1,ORE,sd,M,B2,7491,1.151183588
ORE_sd_M_B2_7491_2,ORE,sd,M,B2,7491,0.655632183
ORE_sd_M_B2_7491_3,ORE,sd,M,B2,7491,0.569606381
ORE_sd_M_B2_7491_4,ORE,sd,M,B2,7491,0.901606708
ORE_sd_M_B2_7491_5,ORE,sd,M,B2,7491,0.636271579
ORE_sd_M_B2_7491_6,ORE,sd,M,B2,7491,0.589006642
ORE_sd_M_B2_7492_1,ORE,sd,M,B2,7492,1.663306369
ORE_sd_M_B2_7492_2,ORE,sd,M,B2,7492,1.739713832
ORE_sd_M_B2_7492_3,ORE,sd,M,B2,7492,1.937463145
ORE_sd_M_B2_7492_4,ORE,sd,M,B2,7492,1.61561675
ORE_sd_M_B2_7492_5,ORE,sd,M,B2,7492,1.761489245
ORE_sd_M_B2_7492_6,ORE,sd,M,B2,7492,1.64618452
ORE_sd_M_B2_7503_1,ORE,sd,M,B2,7503,0.767668136
ORE_sd_M_B2_7503_2,ORE,sd,M,B2,7503,0.815220073
ORE_sd_M_B2_7503_3,ORE,sd,M,B2,7503,0.903533281
ORE_sd_M_B2_7503_4,ORE,sd,M,B2,7503,0.761242608
ORE_sd_M_B2_7503_5,ORE,sd,M,B2,7503,0.737081433
ORE_sd_M_B2_7503_6,ORE,sd,M,B2,7503,1.011232528
ORE_sd_M_B2_7505_1,ORE,sd,M,B2,7505,1.960397533
ORE_sd_M_B2_7505_2,ORE,sd,M,B2,7505,2.002200773
ORE_sd_M_B2_7505_3,ORE,sd,M,B2,7505,2.070561509
ORE_sd_M_B2_7505_4,ORE,sd,M,B2,7505,1.994851722
ORE_sd_M_B2_7505_5,ORE,sd,M,B2,7505,1.991020134
ORE_sd_M_B2_7505_6,ORE,sd,M,B2,7505,2.042373473
ORE_sd_M_B2_7507_1,ORE,sd,M,B2,7507,1.710163594
ORE_sd_M_B2_7507_2,ORE,sd,M,B2,7507,1.413851669
ORE_sd_M_B2_7507_3,ORE,sd,M,B2,7507,1.593548146
ORE_sd_M_B2_7507_4,ORE,sd,M,B2,7507,1.889025311
ORE_sd_M_B2_7507_5,ORE,sd,M,B2,7507,1.171583958
ORE_sd_M_B2_7507_6,ORE,sd,M,B2,7507,2.012116676
ORE_sd_M_B2_7513_1,ORE,sd,M,B2,7513,1.376779555
ORE_sd_M_B2_7513_2,ORE,sd,M,B2,7513,1.01824874
ORE_sd_M_B2_7513_3,ORE,sd,M,B2,7513,1.475497732
ORE_sd_M_B2_7513_4,ORE,sd,M,B2,7513,1.245676224
ORE_sd_M_B2_7513_5,ORE,sd,M,B2,7513,1.108765672
ORE_sd_M_B2_7516_1,ORE,sd,M,B2,7516,0.561954196
ORE_sd_M_B2_7516_2,ORE,sd,M,B2,7516,0.551049009
ORE_sd_M_B2_7516_3,ORE,sd,M,B2,7516,0.69290754
ORE_sd_M_B2_7516_4,ORE,sd,M,B2,7516,0.778761122
ORE_sd_M_B2_7516_5,ORE,sd,M,B2,7516,0.87678975
ORE_sd_M_B2_7516_6,ORE,sd,M,B2,7516,0.914248722
ORE_sd_M_B2_7522_2,ORE,sd,M,B2,7522,1.180684657
ORE_sd_M_B2_7522_3,ORE,sd,M,B2,7522,1.159370305
ORE_sd_M_B2_7524_1,ORE,sd,M,B2,7524,0.994923553
ORE_sd_M_B2_7524_2,ORE,sd,M,B2,7524,1.838646904
ORE_sd_M_B2_7524_3,ORE,sd,M,B2,7524,1.907914648
ORE_sd_M_B2_7524_4,ORE,sd,M,B2,7524,0.732537026
