Deletion_list,Stock,ORE,Significance_ORE,SAM,Significance_SAM,Del_Size,Semiqt_ORE,Semiqt_SAM
Df(2L)Exel8038,7840,0.514637535,y,0.609230904,y,336.1,7.89,7.57
Df(3L)Exel6127,7606,0.515036145,y,1.296933165,y,86.72,8.23,7
Df(3R)Exel7309,7960,0.63094019,y,1.021531713,y,73.02,6.9,7
Df(2L)Exel7067,7834,0.705218263,y,1.704995727,b,100.5,6.57,4.714
Df(2L)Exel6033,7516,0.729285057,y,1.53846294,y,236.3,7.5,6.75
Df(2L)Exel6039,7522,0.738626347,y,1.804420281,y,205.3,8,5.5
Df(3R)Exel6208,7686,0.749342462,b,1.630887118,y,100,7.11,6.78
Df(2L)Exel6004,7491,0.75055118,y,1.619596687,y,88.06,7.5,6
Df(3L)Exel9065,7949,0.762233477,y,1.324265012,b,6.45,7.3,6.89
Df(2R)Exel6059,7541,0.775730878,b,1.618853963,y,315.7,7.11,6.54
Df(3L)Exel6132,7611,0.817512901,y,1.622385203,y,115.4,7.18,6.084
Df(2L)Exel6017,7503,0.83266301,y,1.64895701,y,219.8,7.12,6.67
Df(3R)Exel6146,7625,0.83408547,y,1.690912686,b,332.9,6.57,5.8
Df(3R)Exel8159,7976,0.849637072,b,1.697916504,y,280.4,7,6.23
Df(3R)Exel6161,7640,0.956973797,a,1.418022988,b,104.5,7.17,5.67
Df(3L)Exel9007,7942,0.971541676,a,1.701341546,b,215.1,7,4.834
Df(2R)Exel7135,7879,0.983652409,y,1.450310764,y,137,7,6.143
Df(3L)Exel6106,7585,1.069695991,a,1.728097692,y,83.26,7,6.23
Df(2R)Exel6058,7540,1.181542089,a,1.850154845,n,118.6,6.82,4.125
Df(2R)Exel7166,7998,1.191847924,n,1.692585784,b,133.3,6.84,4.17
Df(2L)Exel6030,7513,1.203910288,a,1.863091704,a,167.7,7,4.25
Df(2R)Exel6072,7554,1.264563194,a,1.875329406,n,198,6.75,4
Df(3R)Exel6288,7752,1.268511268,a,1.725266492,b,174.7,7,4.09
CONTROL,6326,1.331305086,a,1.872205307,a,0,6.81,4.3
Df(2L)Exel6042,7524,1.336053501,n,1.924129718,n,191.8,6.43,4
Df(3R)Exel6270,7737,1.377766451,a,1.874438462,a,204.2,6.85,5.08
Df(2L)Exel7021,7795,1.414674514,a,1.48020052,y,65,6.84,4.9
Df(2R)Exel7157,7894,1.416187367,n,1.870552894,n,113.2,6.43,4.12
Df(2R)Exel6062,7544,1.507926712,n,1.868044619,n,55.67,6.27,4
Df(2R)Exel7130,7875,1.513928175,a,1.718455188,y,143.7,6.29,4.09
Df(3R)Exel9029,7951,1.58887133,a,1.837584186,a,34.47,6.71,4
Df(2L)Exel7073,7845,1.594698589,n,1.888415881,a,167,6.43,4
Df(2L)Exel6043,7525,1.623311567,n,1.743552749,y,266,6,4
Df(2L)Exel6024,7507,1.631714892,a,1.892023197,a,172.6,6.43,4
Df(3R)Exel6158,7637,1.643421377,a,1.880072892,a,66.2,6.7,4.34
Df(2L)Exel6256,7724,1.653052143,a,1.80571249,y,107.6,6.84,4.18
Df(3R)Exel6274,7741,1.700763777,y,1.882266048,a,124.2,5.71,4
Df(3R)Exel8178,7993,1.702766469,a,1.764456718,y,260.6,6.2,4.8
Df(3R)Exel6198,7677,1.725980992,n,1.78348796,b,130.8,6.34,4.2
Df(2L)Exel6005,7492,1.727295644,y,1.795401518,b,186.2,5.34,4
Df(2L)Exel6047,7529,1.79706286,y,1.84258891,n,140.4,5.34,3.84
Df(2L)Exel6044,7526,1.909959314,b,1.841267387,a,192.6,6,4.45
Df(3R)Exel9025,7995,1.979461808,y,1.895818479,y,15.15,4,3.34
Df(2L)Exel6021,7505,2.010234191,y,1.956715256,y,190.9,4.34,3.75
