ID,Background,Mutation,Sex,Block,Deletion,Centroid_Size
ORE_sd_F_B1_6326_1,ORE,sd,f,B1,6326,2.424072041
ORE_sd_F_B1_6326_2,ORE,sd,f,B1,6326,2.280746324
ORE_sd_F_B1_6326_3,ORE,sd,f,B1,6326,2.33091759
ORE_sd_F_B1_6326_4,ORE,sd,f,B1,6326,2.238161947
ORE_sd_F_B1_6326_5,ORE,sd,f,B1,6326,2.368458498
ORE_sd_F_B1_6326_6,ORE,sd,f,B1,6326,2.298047081
ORE_sd_F_B1_7522_1,ORE,sd,f,B1,7522,2.249059355
ORE_sd_F_B1_7522_2,ORE,sd,f,B1,7522,2.30004835
ORE_sd_F_B1_7522_3,ORE,sd,f,B1,7522,2.22896765
ORE_sd_F_B1_7522_4,ORE,sd,f,B1,7522,2.365507096
ORE_sd_F_B1_7522_5,ORE,sd,f,B1,7522,2.207417125
ORE_sd_F_B1_7522_6,ORE,sd,f,B1,7522,2.335307846
ORE_sd_F_B1_7541_1,ORE,sd,f,B1,7541,2.139376523
ORE_sd_F_B1_7541_2,ORE,sd,f,B1,7541,2.183667217
ORE_sd_F_B1_7541_3,ORE,sd,f,B1,7541,2.237103251
ORE_sd_F_B1_7541_4,ORE,sd,f,B1,7541,2.241449532
ORE_sd_F_B1_7795_1,ORE,sd,f,B1,7795,2.201565929
ORE_sd_F_B1_7795_2,ORE,sd,f,B1,7795,2.302192131
ORE_sd_F_B1_7795_3,ORE,sd,f,B1,7795,2.38160098
ORE_sd_F_B1_7795_4,ORE,sd,f,B1,7795,2.179155073
ORE_sd_F_B1_7795_5,ORE,sd,f,B1,7795,2.158483855
ORE_sd_F_B1_7834_1,ORE,sd,f,B1,7834,2.102797763
ORE_sd_F_B1_7834_2,ORE,sd,f,B1,7834,2.13376256
ORE_sd_F_B1_7834_3,ORE,sd,f,B1,7834,2.186389776
ORE_sd_F_B1_7834_4,ORE,sd,f,B1,7834,2.103143579
ORE_sd_F_B1_7834_5,ORE,sd,f,B1,7834,2.136678737
ORE_sd_F_B1_7834_6,ORE,sd,f,B1,7834,2.233551996
ORE_sd_F_B1_7845_1,ORE,sd,f,B1,7845,2.502523062
ORE_sd_F_B1_7845_2,ORE,sd,f,B1,7845,2.45225265
ORE_sd_F_B1_7845_3,ORE,sd,f,B1,7845,2.433208557
ORE_sd_F_B1_7845_4,ORE,sd,f,B1,7845,2.421531833
ORE_sd_F_B1_7845_5,ORE,sd,f,B1,7845,2.308164343
ORE_sd_F_B1_7845_6,ORE,sd,f,B1,7845,2.428933554
ORE_sd_F_B1_7875_1,ORE,sd,f,B1,7875,2.124336345
ORE_sd_F_B1_7875_2,ORE,sd,f,B1,7875,2.111757974
ORE_sd_F_B1_7875_3,ORE,sd,f,B1,7875,2.118237104
ORE_sd_F_B1_7875_4,ORE,sd,f,B1,7875,2.113846087
ORE_sd_F_B1_7875_5,ORE,sd,f,B1,7875,2.112368798
ORE_sd_F_B1_7875_6,ORE,sd,f,B1,7875,2.085764165
ORE_sd_F_B1_7879_1,ORE,sd,f,B1,7879,2.409212414
ORE_sd_F_B1_7879_2,ORE,sd,f,B1,7879,2.217872683
ORE_sd_F_B1_7879_3,ORE,sd,f,B1,7879,2.280544228
ORE_sd_F_B1_7879_4,ORE,sd,f,B1,7879,2.328399743
ORE_sd_F_B1_7879_5,ORE,sd,f,B1,7879,2.342189053
ORE_sd_F_B1_7879_6,ORE,sd,f,B1,7879,2.340349504
ORE_sd_F_B1_7894_1,ORE,sd,f,B1,7894,2.33338229
ORE_sd_F_B1_7894_2,ORE,sd,f,B1,7894,2.260331556
ORE_sd_F_B1_7894_3,ORE,sd,f,B1,7894,2.229643623
ORE_sd_F_B1_7894_4,ORE,sd,f,B1,7894,2.371547839
ORE_sd_F_B1_7894_5,ORE,sd,f,B1,7894,2.411563361
ORE_sd_F_B2_6326_1,ORE,sd,f,B2,6326,2.252286083
ORE_sd_F_B2_6326_2,ORE,sd,f,B2,6326,2.233941448
ORE_sd_F_B2_6326_3,ORE,sd,f,B2,6326,2.318354021
ORE_sd_F_B2_6326_4,ORE,sd,f,B2,6326,2.370384492
ORE_sd_F_B2_6326_5,ORE,sd,f,B2,6326,2.453842201
ORE_sd_F_B2_6326_6,ORE,sd,f,B2,6326,2.339445768
ORE_sd_F_B2_7491_1,ORE,sd,f,B2,7491,2.333306836
ORE_sd_F_B2_7491_2,ORE,sd,f,B2,7491,2.368495771
ORE_sd_F_B2_7491_3,ORE,sd,f,B2,7491,2.346247418
ORE_sd_F_B2_7491_4,ORE,sd,f,B2,7491,2.283019438
ORE_sd_F_B2_7491_5,ORE,sd,f,B2,7491,2.307894944
ORE_sd_F_B2_7491_6,ORE,sd,f,B2,7491,2.329759067
ORE_sd_F_B2_7492_1,ORE,sd,f,B2,7492,2.433711467
ORE_sd_F_B2_7492_2,ORE,sd,f,B2,7492,2.396435779
ORE_sd_F_B2_7492_3,ORE,sd,f,B2,7492,2.422530617
ORE_sd_F_B2_7492_4,ORE,sd,f,B2,7492,2.432571359
ORE_sd_F_B2_7492_5,ORE,sd,f,B2,7492,2.365313098
ORE_sd_F_B2_7492_6,ORE,sd,f,B2,7492,2.325677266
ORE_sd_F_B2_7503_1,ORE,sd,f,B2,7503,2.319770951
ORE_sd_F_B2_7503_2,ORE,sd,f,B2,7503,2.267073945
ORE_sd_F_B2_7503_3,ORE,sd,f,B2,7503,2.386284514
ORE_sd_F_B2_7503_4,ORE,sd,f,B2,7503,2.366484293
ORE_sd_F_B2_7503_5,ORE,sd,f,B2,7503,2.35159998
ORE_sd_F_B2_7503_6,ORE,sd,f,B2,7503,2.29161457
ORE_sd_F_B2_7505_1,ORE,sd,f,B2,7505,2.345414147
ORE_sd_F_B2_7505_2,ORE,sd,f,B2,7505,2.367434271
ORE_sd_F_B2_7505_3,ORE,sd,f,B2,7505,2.48504574
ORE_sd_F_B2_7505_4,ORE,sd,f,B2,7505,2.341734749
ORE_sd_F_B2_7505_5,ORE,sd,f,B2,7505,2.286816323
ORE_sd_F_B2_7505_6,ORE,sd,f,B2,7505,2.419203604
ORE_sd_F_B2_7507_1,ORE,sd,f,B2,7507,2.303904712
ORE_sd_F_B2_7507_2,ORE,sd,f,B2,7507,2.218643273
ORE_sd_F_B2_7507_3,ORE,sd,f,B2,7507,2.364075661
ORE_sd_F_B2_7507_4,ORE,sd,f,B2,7507,2.248696405
ORE_sd_F_B2_7507_5,ORE,sd,f,B2,7507,2.381780901
ORE_sd_F_B2_7507_6,ORE,sd,f,B2,7507,2.364008516
ORE_sd_F_B2_7513_1,ORE,sd,f,B2,7513,2.28245289
ORE_sd_F_B2_7513_2,ORE,sd,f,B2,7513,2.465943407
ORE_sd_F_B2_7513_3,ORE,sd,f,B2,7513,2.305683579
ORE_sd_F_B2_7513_4,ORE,sd,f,B2,7513,2.390683321
ORE_sd_F_B2_7513_5,ORE,sd,f,B2,7513,2.362262779
ORE_sd_F_B2_7516_1,ORE,sd,f,B2,7516,2.278195357
ORE_sd_F_B2_7516_2,ORE,sd,f,B2,7516,2.046977343
ORE_sd_F_B2_7516_3,ORE,sd,f,B2,7516,2.279639882
ORE_sd_F_B2_7516_4,ORE,sd,f,B2,7516,2.205476826
ORE_sd_F_B2_7516_5,ORE,sd,f,B2,7516,2.261887404
ORE_sd_F_B2_7516_6,ORE,sd,f,B2,7516,2.163011711
ORE_sd_F_B2_7522_1,ORE,sd,f,B2,7522,2.296552291
ORE_sd_F_B2_7522_2,ORE,sd,f,B2,7522,2.381997866
ORE_sd_F_B2_7522_3,ORE,sd,f,B2,7522,2.3375835
ORE_sd_F_B2_7522_4,ORE,sd,f,B2,7522,2.411238915
ORE_sd_F_B2_7522_5,ORE,sd,f,B2,7522,2.385509367
ORE_sd_F_B2_7522_6,ORE,sd,f,B2,7522,2.290285443
ORE_sd_F_B2_7524_1,ORE,sd,f,B2,7524,2.25305762
ORE_sd_F_B2_7524_2,ORE,sd,f,B2,7524,2.199334405
ORE_sd_F_B2_7524_3,ORE,sd,f,B2,7524,2.298410955
ORE_sd_F_B2_7524_5,ORE,sd,f,B2,7524,2.263816124
ORE_sd_F_B2_7524_6,ORE,sd,f,B2,7524,2.324653272
ORE_sd_F_B2_7525_1,ORE,sd,f,B2,7525,2.415779183
ORE_sd_F_B2_7525_2,ORE,sd,f,B2,7525,2.453361076
ORE_sd_F_B2_7525_3,ORE,sd,f,B2,7525,2.358695782
