Deletion_List,Stock,ORE,Significance_ORE,SAM,Significance_SAM
Df(2R)Exel7130,7875,2.13220738,y,2.011687192,y
Df(2L)Exel7067,7834,2.149387402,y,2.029577296,y
Df(2L)Exel8038,7840,2.172755367,y,2.136081589,y
Df(2L)Exel6033,7516,2.205864754,y,2.136650744,y
Df(3L)Exel6106,7585,2.212715853,y,2.134241296,y
Df(2L)Exel7021,7795,2.244599594,n,2.136469052,y
Df(2R)Exel6059,7541,2.260216986,y,2.200510367,y
Df(2R)Exel7166,7998,2.260245582,n,2.125890817,y
Df(2L)Exel6047,7529,2.266415965,n,2.218896594,n
Df(2L)Exel6042,7524,2.267854475,n,2.29589402,y
Df(3R)Exel6288,7752,2.269174147,n,2.189859941,y
Df(3L)Exel9007,7942,2.280644214,n,2.204978422,n
Df(3L)Exel6127,7606,2.284852509,n,2.237297399,n
Df(3R)Exel6270,7737,2.285206293,n,2.24680388,n
Df(3R)Exel6198,7677,2.29920142,n,2.126048386,y
Df(2R)Exel6058,7540,2.306249819,n,2.253757775,n
Df(2L)Exel6030,7513,2.306277033,n,2.262203927,n
Df(2R)Exel6062,7544,2.308974437,n,2.31636447,y
Df(2L)Exel6024,7507,2.313518245,n,2.311332244,y
Df(3R)Exel8159,7976,2.314023879,n,2.216439803,n
Df(2L)Exel6044,7526,2.31578458,n,2.223955373,n
Df(2L)Exel6039,7522,2.315789567,n,2.225735978,n
Df(2R)Exel7135,7879,2.319761271,n,2.256932056,n
CONTROL,6326,2.322830185,n,2.25095923,n
Df(2L)Exel6004,7491,2.328120579,n,2.196424087,y
Df(2L)Exel6017,7503,2.330471376,n,2.203337943,y
Df(3R)Exel9029,7951,2.330698277,n,2.242060896,n
Df(2R)Exel7157,7894,2.337263339,n,2.294906405,y
Df(3L)Exel9065,7949,2.341062001,n,2.28778097,n
Df(3R)Exel9025,7995,2.35324881,n,2.270870651,n
Df(3R)Exel6146,7625,2.353768287,n,2.235802709,n
Df(3R)Exel6274,7741,2.362061341,n,2.248606766,n
Df(3R)Exel6208,7686,2.371003461,n,2.285741282,y
Df(2L)Exel6256,7724,2.373084439,n,2.311370925,y
Df(2L)Exel6021,7505,2.374274806,n,2.301363169,y
Df(3R)Exel6158,7637,2.381868541,n,2.309366991,y
Df(2L)Exel7073,7845,2.38310532,y,2.292258324,y
Df(3R)Exel8178,7993,2.385119471,n,2.205321069,n
Df(2L)Exel6005,7492,2.396039931,n,2.200325422,y
Df(2L)Exel6043,7525,2.403622749,n,2.226717283,n
Df(3R)Exel6161,7640,2.414151899,y,2.303071287,y
Df(3R)Exel7309,7960,2.414822047,y,2.282879094,n
Df(2R)Exel6072,7554,2.41554727,y,2.303197848,y
Df(3L)Exel6132,7611,2.442270602,y,2.30208763,y
