Background,Mutation,Sex,Batch,Deletion,Centroid_Size
ORE,sdETX4,M,B1,6326,1.733169
ORE,sdETX4,M,B1,6326,1.776209
ORE,sdETX4,M,B1,6326,1.779088
ORE,sdETX4,M,B1,6326,1.622218
ORE,sdETX4,M,B1,6326,1.872904
ORE,sdETX4,M,B1,6326,1.752307
ORE,sdETX4,M,B1,6326,1.759211
ORE,sdETX4,M,B1,6326,1.77384
ORE,sdETX4,M,B1,7625,0.353786
ORE,sdETX4,M,B1,7625,0.544703
ORE,sdETX4,M,B1,7625,0.517423
ORE,sdETX4,M,B1,7625,0.478986
ORE,sdETX4,M,B1,7625,0.482074
ORE,sdETX4,M,B1,7625,0.798731
ORE,sdETX4,M,B1,7677,1.916624
ORE,sdETX4,M,B1,7677,1.91866
ORE,sdETX4,M,B1,7677,2.041273
ORE,sdETX4,M,B1,7677,1.809373
ORE,sdETX4,M,B1,7677,1.899906
ORE,sdETX4,M,B1,7677,1.89881
ORE,sdETX4,M,B1,7834,0.565842
ORE,sdETX4,M,B1,7834,0.339007
ORE,sdETX4,M,B1,7834,0.511201
ORE,sdETX4,M,B1,7834,0.610177
ORE,sdETX4,M,B1,7834,0.662397
ORE,sdETX4,M,B1,7834,0.451268
ORE,sdETX4,M,B1,7949,0.919577
ORE,sdETX4,M,B1,7949,0.71826
ORE,sdETX4,M,B1,7949,0.715886
SAM,sdETX4,M,B3,7524,1.623663
SAM,sdETX4,M,B3,7524,1.951074
SAM,sdETX4,M,B3,7524,1.906129
SAM,sdETX4,M,B3,7525,1.762542
SAM,sdETX4,M,B3,7525,1.669584
SAM,sdETX4,M,B3,7525,1.671123
SAM,sdETX4,M,B3,7525,1.710015
SAM,sdETX4,M,B3,7525,1.709838
SAM,sdETX4,M,B3,7525,1.669088
SAM,sdETX4,M,B3,7528,1.778547
SAM,sdETX4,M,B3,7528,1.690022
SAM,sdETX4,M,B3,7528,1.824972
SAM,sdETX4,M,B3,7528,1.803641
SAM,sdETX4,M,B3,7528,1.801583
SAM,sdETX4,M,B3,7528,1.810707
SAM,sdETX4,M,B3,7529,1.639256
SAM,sdETX4,M,B3,7529,1.469028
SAM,sdETX4,M,B3,7529,1.620148
SAM,sdETX4,M,B3,7529,1.551867
SAM,sdETX4,M,B3,7541,1.86565
SAM,sdETX4,M,B3,7541,1.833579
SAM,sdETX4,M,B3,7541,1.937604
SAM,sdETX4,M,B3,7541,1.709917
SAM,sdETX4,M,B3,7541,1.876701
SAM,sdETX4,M,B3,7541,1.877942
SAM,sdETX4,M,B3,7544,1.67623
SAM,sdETX4,M,B3,7544,1.708885
SAM,sdETX4,M,B3,7544,1.734514
SAM,sdETX4,M,B3,7544,1.744272
