Stock,Deletion_List,ORE,SAM
7998,Df(2R)Exel7166,0.453683,1.684575
7834,Df(2L)Exel7067,0.523315333,1.683881333
7625,Df(3R)Exel6146,0.529283833,1.849443167
7840,Df(2L)Exel8038,0.5623475,0.6060295
7960,Df(3R)Exel7309,0.6270468,1.2751285
7686,Df(3R)Exel6208,0.806181833,1.824317667
7949,Df(3L)Exel9065,0.811918167,1.760034167
7503,Df(2L)Exel6017,0.8503845,NA
7976,Df(3R)Exel8159,1.000785167,1.668247167
7516,Df(2L)Exel6033,1.012716833,1.717138333
7522,Df(2L)Exel6039,1.108669333,1.655085167
7993,Df(3R)Exel8178,1.225646,1.42398775
7585,Df(3L)Exel6106,1.248531167,1.7109825
7795,Df(2L)Exel7021,1.300335833,1.653710667
7491,Df(2L)Exel6004,1.515015667,1.272884
7606,Df(3L)Exel6127,1.638430333,1.647941
7995,Df(3R)Exel9025,1.662664,1.7438044
7529,Df(2L)Exel6047,1.696329833,1.57007475
7737,Df(3R)Exel6270,1.703698167,1.778387833
7544,Df(2R)Exel6062,1.711585,1.728274
7875,Df(2R)Exel7130,1.745793333,1.71527375
7845,Df(2L)Exel7073,1.754826667,1.8166015
6326,CONTROL,1.74828675,1.801104542
7541,Df(2R)Exel6059,1.792319,1.850232167
7540,Df(2R)Exel6058,1.796844333,1.785825167
7724,Df(2L)Exel6256,1.821436333,1.836099667
7741,Df(3R)Exel6274,1.867187333,1.7960095
7611,Df(3L)Exel6132,1.8749796,NA
7894,Df(2R)Exel7157,1.8812074,1.748489333
7677,Df(3R)Exel6198,1.914107667,1.665172
7505,Df(2L)Exel6021,1.929967167,1.801407333
7492,Df(2L)Exel6005,NA,1.807831667
7524,Df(2L)Exel6042,NA,1.826955333
7525,Df(2L)Exel6043,NA,1.698698333
7528,Df(2L)Exel6046,NA,1.784912
7554,Df(2R)Exel6072,NA,1.672397667
7637,Df(3R)Exel6158,NA,1.815003
7640,Df(3R)Exel6161,NA,1.799327167
7879,Df(2R)Exel7135,NA,1.827144
